;Type;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
0;ICC1;Single raters absolute;0.592653;6.819642;42;129;0.0;[0.45 0.73];Preprocessed data;Control;delta;C14
1;ICC2;Single random raters;0.593094;6.893029;42;126;0.0;[0.45 0.73];Preprocessed data;Control;delta;C14
2;ICC3;Single fixed raters;0.595675;6.893029;42;126;0.0;[0.45 0.73];Preprocessed data;Control;delta;C14
3;ICC1k;Average raters absolute;0.853365;6.819642;42;129;0.0;[0.77 0.91];Preprocessed data;Control;delta;C14
4;ICC2k;Average random raters;0.853593;6.893029;42;126;0.0;[0.77 0.91];Preprocessed data;Control;delta;C14
5;ICC3k;Average fixed raters;0.854926;6.893029;42;126;0.0;[0.77 0.91];Preprocessed data;Control;delta;C14
6;ICC1;Single raters absolute;0.802401;17.243047;42;129;0.0;[0.71 0.88];Preprocessed data;Control;theta;C14
7;ICC2;Single random raters;0.802269;17.013333;42;126;0.0;[0.71 0.88];Preprocessed data;Control;theta;C14
8;ICC3;Single fixed raters;0.800133;17.013333;42;126;0.0;[0.71 0.87];Preprocessed data;Control;theta;C14
9;ICC1k;Average raters absolute;0.942006;17.243047;42;129;0.0;[0.91 0.97];Preprocessed data;Control;theta;C14
10;ICC2k;Average random raters;0.94196;17.013333;42;126;0.0;[0.91 0.97];Preprocessed data;Control;theta;C14
11;ICC3k;Average fixed raters;0.941223;17.013333;42;126;0.0;[0.91 0.97];Preprocessed data;Control;theta;C14
12;ICC1;Single raters absolute;0.768166;14.253706;42;129;0.0;[0.67 0.85];Preprocessed data;Control;alpha-1;C14
13;ICC2;Single random raters;0.768109;14.193997;42;126;0.0;[0.66 0.85];Preprocessed data;Control;alpha-1;C14
14;ICC3;Single fixed raters;0.767361;14.193997;42;126;0.0;[0.66 0.85];Preprocessed data;Control;alpha-1;C14
15;ICC1k;Average raters absolute;0.929843;14.253706;42;129;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C14
16;ICC2k;Average random raters;0.929822;14.193997;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C14
17;ICC3k;Average fixed raters;0.929548;14.193997;42;126;0.0;[0.89 0.96];Preprocessed data;Control;alpha-1;C14
18;ICC1;Single raters absolute;0.815594;18.691275;42;129;0.0;[0.73 0.88];Preprocessed data;Control;alpha-2;C14
19;ICC2;Single random raters;0.815969;19.555692;42;126;0.0;[0.73 0.89];Preprocessed data;Control;alpha-2;C14
20;ICC3;Single fixed raters;0.822661;19.555692;42;126;0.0;[0.74 0.89];Preprocessed data;Control;alpha-2;C14
21;ICC1k;Average raters absolute;0.946499;18.691275;42;129;0.0;[0.91 0.97];Preprocessed data;Control;alpha-2;C14
22;ICC2k;Average random raters;0.946625;19.555692;42;126;0.0;[0.91 0.97];Preprocessed data;Control;alpha-2;C14
23;ICC3k;Average fixed raters;0.948864;19.555692;42;126;0.0;[0.92 0.97];Preprocessed data;Control;alpha-2;C14
24;ICC1;Single raters absolute;0.631467;7.853856;42;129;0.0;[0.5  0.76];Preprocessed data;Control;beta1;C14
25;ICC2;Single random raters;0.633219;8.283333;42;126;0.0;[0.5  0.76];Preprocessed data;Control;beta1;C14
26;ICC3;Single fixed raters;0.645495;8.283333;42;126;0.0;[0.51 0.77];Preprocessed data;Control;beta1;C14
27;ICC1k;Average raters absolute;0.872674;7.853856;42;129;0.0;[0.8  0.93];Preprocessed data;Control;beta1;C14
28;ICC2k;Average random raters;0.873509;8.283333;42;126;0.0;[0.8  0.93];Preprocessed data;Control;beta1;C14
29;ICC3k;Average fixed raters;0.879276;8.283333;42;126;0.0;[0.81 0.93];Preprocessed data;Control;beta1;C14
30;ICC1;Single raters absolute;0.724818;11.535855;42;129;0.0;[0.61 0.82];Preprocessed data;Control;beta2;C14
31;ICC2;Single random raters;0.724616;11.413893;42;126;0.0;[0.61 0.82];Preprocessed data;Control;beta2;C14
32;ICC3;Single fixed raters;0.72249;11.413893;42;126;0.0;[0.61 0.82];Preprocessed data;Control;beta2;C14
33;ICC1k;Average raters absolute;0.913314;11.535855;42;129;0.0;[0.86 0.95];Preprocessed data;Control;beta2;C14
34;ICC2k;Average random raters;0.913233;11.413893;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta2;C14
35;ICC3k;Average fixed raters;0.912387;11.413893;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta2;C14
36;ICC1;Single raters absolute;0.812353;18.316641;42;129;0.0;[0.72 0.88];Preprocessed data;Control;beta3;C14
37;ICC2;Single random raters;0.812193;17.990422;42;126;0.0;[0.72 0.88];Preprocessed data;Control;beta3;C14
38;ICC3;Single fixed raters;0.809437;17.990422;42;126;0.0;[0.72 0.88];Preprocessed data;Control;beta3;C14
39;ICC1k;Average raters absolute;0.945405;18.316641;42;129;0.0;[0.91 0.97];Preprocessed data;Control;beta3;C14
40;ICC2k;Average random raters;0.945351;17.990422;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta3;C14
41;ICC3k;Average fixed raters;0.944415;17.990422;42;126;0.0;[0.91 0.97];Preprocessed data;Control;beta3;C14
42;ICC1;Single raters absolute;0.660104;8.768313;42;129;0.0;[0.53 0.78];Preprocessed data;Control;gamma;C14
43;ICC2;Single random raters;0.660205;8.798959;42;126;0.0;[0.53 0.78];Preprocessed data;Control;gamma;C14
44;ICC3;Single fixed raters;0.660987;8.798959;42;126;0.0;[0.53 0.78];Preprocessed data;Control;gamma;C14
45;ICC1k;Average raters absolute;0.885953;8.768313;42;129;0.0;[0.82 0.93];Preprocessed data;Control;gamma;C14
46;ICC2k;Average random raters;0.885998;8.798959;42;126;0.0;[0.82 0.93];Preprocessed data;Control;gamma;C14
47;ICC3k;Average fixed raters;0.88635;8.798959;42;126;0.0;[0.82 0.93];Preprocessed data;Control;gamma;C14
48;ICC1;Single raters absolute;0.656265;8.636867;42;129;0.0;[0.52 0.77];Preprocessed data;Control;delta;C15
49;ICC2;Single random raters;0.656365;8.666203;42;126;0.0;[0.53 0.77];Preprocessed data;Control;delta;C15
50;ICC3;Single fixed raters;0.657129;8.666203;42;126;0.0;[0.53 0.77];Preprocessed data;Control;delta;C15
51;ICC1k;Average raters absolute;0.884217;8.636867;42;129;0.0;[0.82 0.93];Preprocessed data;Control;delta;C15
52;ICC2k;Average random raters;0.884263;8.666203;42;126;0.0;[0.82 0.93];Preprocessed data;Control;delta;C15
53;ICC3k;Average fixed raters;0.884609;8.666203;42;126;0.0;[0.82 0.93];Preprocessed data;Control;delta;C15
54;ICC1;Single raters absolute;0.7955;16.559888;42;129;0.0;[0.7  0.87];Preprocessed data;Control;theta;C15
55;ICC2;Single random raters;0.795358;16.338281;42;126;0.0;[0.7  0.87];Preprocessed data;Control;theta;C15
56;ICC3;Single fixed raters;0.793156;16.338281;42;126;0.0;[0.7  0.87];Preprocessed data;Control;theta;C15
57;ICC1k;Average raters absolute;0.939613;16.559888;42;129;0.0;[0.9  0.96];Preprocessed data;Control;theta;C15
58;ICC2k;Average random raters;0.939564;16.338281;42;126;0.0;[0.9  0.96];Preprocessed data;Control;theta;C15
59;ICC3k;Average fixed raters;0.938794;16.338281;42;126;0.0;[0.9  0.96];Preprocessed data;Control;theta;C15
60;ICC1;Single raters absolute;0.721032;11.338579;42;129;0.0;[0.6  0.82];Preprocessed data;Control;alpha-1;C15
61;ICC2;Single random raters;0.720764;11.184526;42;126;0.0;[0.6  0.82];Preprocessed data;Control;alpha-1;C15
62;ICC3;Single fixed raters;0.718003;11.184526;42;126;0.0;[0.6  0.82];Preprocessed data;Control;alpha-1;C15
63;ICC1k;Average raters absolute;0.911806;11.338579;42;129;0.0;[0.86 0.95];Preprocessed data;Control;alpha-1;C15
64;ICC2k;Average random raters;0.911698;11.184526;42;126;0.0;[0.86 0.95];Preprocessed data;Control;alpha-1;C15
65;ICC3k;Average fixed raters;0.910591;11.184526;42;126;0.0;[0.86 0.95];Preprocessed data;Control;alpha-1;C15
66;ICC1;Single raters absolute;0.664228;8.912851;42;129;0.0;[0.53 0.78];Preprocessed data;Control;alpha-2;C15
67;ICC2;Single random raters;0.664058;8.859487;42;126;0.0;[0.53 0.78];Preprocessed data;Control;alpha-2;C15
68;ICC3;Single fixed raters;0.662717;8.859487;42;126;0.0;[0.53 0.78];Preprocessed data;Control;alpha-2;C15
69;ICC1k;Average raters absolute;0.887802;8.912851;42;129;0.0;[0.82 0.93];Preprocessed data;Control;alpha-2;C15
70;ICC2k;Average random raters;0.887727;8.859487;42;126;0.0;[0.82 0.93];Preprocessed data;Control;alpha-2;C15
71;ICC3k;Average fixed raters;0.887127;8.859487;42;126;0.0;[0.82 0.93];Preprocessed data;Control;alpha-2;C15
72;ICC1;Single raters absolute;0.725971;11.596991;42;129;0.0;[0.61 0.82];Preprocessed data;Control;beta1;C15
73;ICC2;Single random raters;0.726728;12.085902;42;126;0.0;[0.61 0.82];Preprocessed data;Control;beta1;C15
74;ICC3;Single fixed raters;0.734852;12.085902;42;126;0.0;[0.62 0.83];Preprocessed data;Control;beta1;C15
75;ICC1k;Average raters absolute;0.913771;11.596991;42;129;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C15
76;ICC2k;Average random raters;0.91407;12.085902;42;126;0.0;[0.86 0.95];Preprocessed data;Control;beta1;C15
77;ICC3k;Average fixed raters;0.917259;12.085902;42;126;0.0;[0.87 0.95];Preprocessed data;Control;beta1;C15
78;ICC1;Single raters absolute;0.78926;15.980739;42;129;0.0;[0.69 0.87];Preprocessed data;Control;beta2;C15
79;ICC2;Single random raters;0.789504;16.340146;42;126;0.0;[0.69 0.87];Preprocessed data;Control;beta2;C15
80;ICC3;Single fixed raters;0.793176;16.340146;42;126;0.0;[0.7  0.87];Preprocessed data;Control;beta2;C15
81;ICC1k;Average raters absolute;0.937425;15.980739;42;129;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C15
82;ICC2k;Average random raters;0.937511;16.340146;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C15
83;ICC3k;Average fixed raters;0.938801;16.340146;42;126;0.0;[0.9  0.96];Preprocessed data;Control;beta2;C15
84;ICC1;Single raters absolute;0.777918;15.011356;42;129;0.0;[0.68 0.86];Preprocessed data;Control;beta3;C15
85;ICC2;Single random raters;0.77768;14.727916;42;126;0.0;[0.68 0.86];Preprocessed data;Control;beta3;C15
86;ICC3;Single fixed raters;0.774367;14.727916;42;126;0.0;[0.67 0.86];Preprocessed data;Control;beta3;C15
87;ICC1k;Average raters absolute;0.933384;15.011356;42;129;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C15
88;ICC2k;Average random raters;0.933298;14.727916;42;126;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C15
89;ICC3k;Average fixed raters;0.932102;14.727916;42;126;0.0;[0.89 0.96];Preprocessed data;Control;beta3;C15
90;ICC1;Single raters absolute;0.691413;9.962322;42;129;0.0;[0.57 0.8 ];Preprocessed data;Control;gamma;C15
91;ICC2;Single random raters;0.691268;9.901732;42;126;0.0;[0.57 0.8 ];Preprocessed data;Control;gamma;C15
92;ICC3;Single fixed raters;0.689964;9.901732;42;126;0.0;[0.57 0.8 ];Preprocessed data;Control;gamma;C15
93;ICC1k;Average raters absolute;0.899622;9.962322;42;129;0.0;[0.84 0.94];Preprocessed data;Control;gamma;C15
94;ICC2k;Average random raters;0.89956;9.901732;42;126;0.0;[0.84 0.94];Preprocessed data;Control;gamma;C15
95;ICC3k;Average fixed raters;0.899008;9.901732;42;126;0.0;[0.84 0.94];Preprocessed data;Control;gamma;C15
96;ICC1;Single raters absolute;0.668361;9.061317;42;129;0.0;[0.54 0.78];Preprocessed data;Control;delta;C18
97;ICC2;Single random raters;0.669157;9.331884;42;126;0.0;[0.54 0.78];Preprocessed data;Control;delta;C18
98;ICC3;Single fixed raters;0.675638;9.331884;42;126;0.0;[0.55 0.79];Preprocessed data;Control;delta;C18
99;ICC1k;Average raters absolute;0.889641;9.061317;42;129;0.0;[0.82 0.94];Preprocessed data;Control;delta;C18
100;ICC2k;Average random raters;0.889993;9.331884;42;126;0.0;[0.82 0.94];Preprocessed data;Control;delta;C18
101;ICC3k;Average fixed raters;0.892841;9.331884;42;126;0.0;[0.83 0.94];Preprocessed data;Control;delta;C18
102;ICC1;Single raters absolute;0.819674;19.182107;42;129;0.0;[0.73 0.89];Preprocessed data;Control;theta;C18
103;ICC2;Single random raters;0.819655;19.136285;42;126;0.0;[0.73 0.89];Preprocessed data;Control;theta;C18
104;ICC3;Single fixed raters;0.819301;19.136285;42;126;0.0;[0.73 0.89];Preprocessed data;Control;theta;C18
105;ICC1k;Average raters absolute;0.947868;19.182107;42;129;0.0;[0.92 0.97];Preprocessed data;Control;theta;C18
106;ICC2k;Average random raters;0.947862;19.136285;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C18
107;ICC3k;Average fixed raters;0.947743;19.136285;42;126;0.0;[0.92 0.97];Preprocessed data;Control;theta;C18
108;ICC1;Single raters absolute;0.713449;10.959131;42;129;0.0;[0.6  0.81];Preprocessed data;Control;alpha-1;C18
109;ICC2;Single random raters;0.713713;11.101993;42;126;0.0;[0.6  0.82];Preprocessed data;Control;alpha-1;C18
110;ICC3;Single fixed raters;0.716352;11.101993;42;126;0.0;[0.6  0.82];Preprocessed data;Control;alpha-1;C18
111;ICC1k;Average raters absolute;0.908752;10.959131;42;129;0.0;[0.85 0.95];Preprocessed data;Control;alpha-1;C18
112;ICC2k;Average random raters;0.908859;11.101993;42;126;0.0;[0.85 0.95];Preprocessed data;Control;alpha-1;C18
113;ICC3k;Average fixed raters;0.909926;11.101993;42;126;0.0;[0.86 0.95];Preprocessed data;Control;alpha-1;C18
114;ICC1;Single raters absolute;0.746536;12.781313;42;129;0.0;[0.64 0.84];Preprocessed data;Control;alpha-2;C18
115;ICC2;Single random raters;0.746596;12.829316;42;126;0.0;[0.64 0.84];Preprocessed data;Control;alpha-2;C18
116;ICC3;Single fixed raters;0.747304;12.829316;42;126;0.0;[0.64 0.84];Preprocessed data;Control;alpha-2;C18
117;ICC1k;Average raters absolute;0.921761;12.781313;42;129;0.0;[0.88 0.95];Preprocessed data;Control;alpha-2;C18
118;ICC2k;Average random raters;0.921784;12.829316;42;126;0.0;[0.88 0.95];Preprocessed data;Control;alpha-2;C18
119;ICC3k;Average fixed raters;0.922054;12.829316;42;126;0.0;[0.88 0.95];Preprocessed data;Control;alpha-2;C18
120;ICC1;Single raters absolute;0.750287;13.018395;42;129;0.0;[0.64 0.84];Preprocessed data;Control;beta1;C18
121;ICC2;Single random raters;0.750509;13.206274;42;126;0.0;[0.64 0.84];Preprocessed data;Control;beta1;C18
122;ICC3;Single fixed raters;0.753182;13.206274;42;126;0.0;[0.65 0.84];Preprocessed data;Control;beta1;C18
123;ICC1k;Average raters absolute;0.923186;13.018395;42;129;0.0;[0.88 0.95];Preprocessed data;Control;beta1;C18
124;ICC2k;Average random raters;0.923269;13.206274;42;126;0.0;[0.88 0.95];Preprocessed data;Control;beta1;C18
125;ICC3k;Average fixed raters;0.924278;13.206274;42;126;0.0;[0.88 0.96];Preprocessed data;Control;beta1;C18
126;ICC1;Single raters absolute;0.739263;12.34114;42;129;0.0;[0.63 0.83];Preprocessed data;Control;beta2;C18
