;Description;ICC;F;df1;df2;pval;CI95%;Type;Stage;Group;Bands;Roi
0;Single raters absolute;0.618491;7.484689;601;1806;0.0;[0.58 0.65];ICC1;Preprocessed data;Control;delta;F
1;Single random raters;0.62021;7.857547;601;1803;0.0;[0.58 0.66];ICC2;Preprocessed data;Control;delta;F
2;Single fixed raters;0.631593;7.857547;601;1803;0.0;[0.6  0.67];ICC3;Preprocessed data;Control;delta;F
3;Average raters absolute;0.866394;7.484689;601;1806;0.0;[0.85 0.88];ICC1k;Preprocessed data;Control;delta;F
4;Average random raters;0.867236;7.857547;601;1803;0.0;[0.85 0.89];ICC2k;Preprocessed data;Control;delta;F
5;Average fixed raters;0.872734;7.857547;601;1803;0.0;[0.86 0.89];ICC3k;Preprocessed data;Control;delta;F
6;Single raters absolute;0.848452;23.394264;601;1806;0.0;[0.83 0.87];ICC1;Preprocessed data;Control;theta;F
7;Single random raters;0.848581;23.932667;601;1803;0.0;[0.83 0.87];ICC2;Preprocessed data;Control;theta;F
8;Single fixed raters;0.851481;23.932667;601;1803;0.0;[0.83 0.87];ICC3;Preprocessed data;Control;theta;F
9;Average raters absolute;0.957254;23.394264;601;1806;0.0;[0.95 0.96];ICC1k;Preprocessed data;Control;theta;F
10;Average random raters;0.957296;23.932667;601;1803;0.0;[0.95 0.96];ICC2k;Preprocessed data;Control;theta;F
11;Average fixed raters;0.958216;23.932667;601;1803;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;theta;F
12;Single raters absolute;0.750968;13.062209;601;1806;0.0;[0.72 0.78];ICC1;Preprocessed data;Control;alpha-1;F
13;Single random raters;0.751961;13.959154;601;1803;0.0;[0.72 0.78];ICC2;Preprocessed data;Control;alpha-1;F
14;Single fixed raters;0.764139;13.959154;601;1803;0.0;[0.74 0.79];ICC3;Preprocessed data;Control;alpha-1;F
15;Average raters absolute;0.923443;13.062209;601;1806;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;alpha-1;F
16;Average random raters;0.923818;13.959154;601;1803;0.0;[0.91 0.94];ICC2k;Preprocessed data;Control;alpha-1;F
17;Average fixed raters;0.928362;13.959154;601;1803;0.0;[0.92 0.94];ICC3k;Preprocessed data;Control;alpha-1;F
18;Single raters absolute;0.704972;10.558016;601;1806;0.0;[0.67 0.73];ICC1;Preprocessed data;Control;alpha-2;F
19;Single random raters;0.705737;10.94406;601;1803;0.0;[0.67 0.74];ICC2;Preprocessed data;Control;alpha-2;F
20;Single fixed raters;0.713139;10.94406;601;1803;0.0;[0.68 0.74];ICC3;Preprocessed data;Control;alpha-2;F
21;Average raters absolute;0.905285;10.558016;601;1806;0.0;[0.89 0.92];ICC1k;Preprocessed data;Control;alpha-2;F
22;Average random raters;0.905601;10.94406;601;1803;0.0;[0.89 0.92];ICC2k;Preprocessed data;Control;alpha-2;F
23;Average fixed raters;0.908626;10.94406;601;1803;0.0;[0.9  0.92];ICC3k;Preprocessed data;Control;alpha-2;F
24;Single raters absolute;0.786953;15.775213;601;1806;0.0;[0.76 0.81];ICC1;Preprocessed data;Control;beta1;F
25;Single random raters;0.787528;16.619729;601;1803;0.0;[0.76 0.81];ICC2;Preprocessed data;Control;beta1;F
26;Single fixed raters;0.796124;16.619729;601;1803;0.0;[0.77 0.82];ICC3;Preprocessed data;Control;beta1;F
27;Average raters absolute;0.936609;15.775213;601;1806;0.0;[0.93 0.94];ICC1k;Preprocessed data;Control;beta1;F
28;Average random raters;0.936813;16.619729;601;1803;0.0;[0.93 0.95];ICC2k;Preprocessed data;Control;beta1;F
29;Average fixed raters;0.939831;16.619729;601;1803;0.0;[0.93 0.95];ICC3k;Preprocessed data;Control;beta1;F
30;Single raters absolute;0.784551;15.565886;601;1806;0.0;[0.76 0.81];ICC1;Preprocessed data;Control;beta2;F
31;Single random raters;0.784843;15.968113;601;1803;0.0;[0.76 0.81];ICC2;Preprocessed data;Control;beta2;F
32;Single fixed raters;0.78912;15.968113;601;1803;0.0;[0.77 0.81];ICC3;Preprocessed data;Control;beta2;F
33;Average raters absolute;0.935757;15.565886;601;1806;0.0;[0.93 0.94];ICC1k;Preprocessed data;Control;beta2;F
34;Average random raters;0.935861;15.968113;601;1803;0.0;[0.93 0.94];ICC2k;Preprocessed data;Control;beta2;F
35;Average fixed raters;0.937375;15.968113;601;1803;0.0;[0.93 0.95];ICC3k;Preprocessed data;Control;beta2;F
36;Single raters absolute;0.831925;20.798888;601;1806;0.0;[0.81 0.85];ICC1;Preprocessed data;Control;beta3;F
37;Single random raters;0.831974;20.943552;601;1803;0.0;[0.81 0.85];ICC2;Preprocessed data;Control;beta3;F
38;Single fixed raters;0.83294;20.943552;601;1803;0.0;[0.81 0.85];ICC3;Preprocessed data;Control;beta3;F
39;Average raters absolute;0.951921;20.798888;601;1806;0.0;[0.95 0.96];ICC1k;Preprocessed data;Control;beta3;F
40;Average random raters;0.951936;20.943552;601;1803;0.0;[0.95 0.96];ICC2k;Preprocessed data;Control;beta3;F
41;Average fixed raters;0.952253;20.943552;601;1803;0.0;[0.95 0.96];ICC3k;Preprocessed data;Control;beta3;F
42;Single raters absolute;0.744751;12.670947;601;1806;0.0;[0.72 0.77];ICC1;Preprocessed data;Control;gamma;F
43;Single random raters;0.744871;12.765306;601;1803;0.0;[0.72 0.77];ICC2;Preprocessed data;Control;gamma;F
44;Single fixed raters;0.746278;12.765306;601;1803;0.0;[0.72 0.77];ICC3;Preprocessed data;Control;gamma;F
45;Average raters absolute;0.921079;12.670947;601;1806;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;gamma;F
46;Average random raters;0.921125;12.765306;601;1803;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;gamma;F
47;Average fixed raters;0.921663;12.765306;601;1803;0.0;[0.91 0.93];ICC3k;Preprocessed data;Control;gamma;F
48;Single raters absolute;0.650655;8.449998;644;1935;0.0;[0.62 0.68];ICC1;Preprocessed data;Control;delta;C
49;Single random raters;0.652176;8.895458;644;1932;0.0;[0.61 0.69];ICC2;Preprocessed data;Control;delta;C
