;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
0;Average fixed raters;0.60954;2.561085;18;54;0.004019;[0.21 0.83];Preprocessed data;G1;delta;C14
1;Average fixed raters;0.837501;6.153892;18;54;0.0;[0.67 0.93];Preprocessed data;G1;theta;C14
2;Average fixed raters;0.912695;11.454073;18;54;0.0;[0.82 0.96];Preprocessed data;G1;alpha-1;C14
3;Average fixed raters;0.91966;12.447027;18;54;0.0;[0.84 0.97];Preprocessed data;G1;alpha-2;C14
4;Average fixed raters;0.857723;7.028533;18;54;0.0;[0.71 0.94];Preprocessed data;G1;beta1;C14
5;Average fixed raters;0.931708;14.642936;18;54;0.0;[0.86 0.97];Preprocessed data;G1;beta2;C14
6;Average fixed raters;0.880195;8.346887;18;54;0.0;[0.76 0.95];Preprocessed data;G1;beta3;C14
7;Average fixed raters;0.851723;6.744135;18;54;0.0;[0.7  0.94];Preprocessed data;G1;gamma;C14
8;Average fixed raters;0.76836;4.317047;18;54;1.5e-05;[0.53 0.9 ];Preprocessed data;G1;delta;C15
9;Average fixed raters;0.854163;6.856947;18;54;0.0;[0.71 0.94];Preprocessed data;G1;theta;C15
10;Average fixed raters;0.878275;8.215264;18;54;0.0;[0.76 0.95];Preprocessed data;G1;alpha-1;C15
11;Average fixed raters;0.892547;9.30638;18;54;0.0;[0.78 0.95];Preprocessed data;G1;alpha-2;C15
12;Average fixed raters;0.919068;12.356034;18;54;0.0;[0.84 0.97];Preprocessed data;G1;beta1;C15
13;Average fixed raters;0.757743;4.12785;18;54;2.6e-05;[0.51 0.9 ];Preprocessed data;G1;beta2;C15
14;Average fixed raters;0.752017;4.032533;18;54;3.5e-05;[0.5  0.89];Preprocessed data;G1;beta3;C15
15;Average fixed raters;0.689368;3.219247;18;54;0.000459;[0.38 0.87];Preprocessed data;G1;gamma;C15
16;Average fixed raters;0.815032;5.406339;18;54;1e-06;[0.63 0.92];Preprocessed data;G1;delta;C18
17;Average fixed raters;0.932892;14.901426;18;54;0.0;[0.87 0.97];Preprocessed data;G1;theta;C18
18;Average fixed raters;0.956523;23.000574;18;54;0.0;[0.91 0.98];Preprocessed data;G1;alpha-1;C18
19;Average fixed raters;0.901821;10.185529;18;54;0.0;[0.8  0.96];Preprocessed data;G1;alpha-2;C18
20;Average fixed raters;0.885993;8.77142;18;54;0.0;[0.77 0.95];Preprocessed data;G1;beta1;C18
