;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
0;0.907856;10.852623;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;C14
1;0.958853;24.303212;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;C14
2;0.938272;16.200089;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;C14
3;0.946142;18.56751;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;C14
4;0.895843;9.600856;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;beta1;C14
5;0.914144;11.647414;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;beta2;C14
6;0.94105;16.963664;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta3;C14
7;0.912416;11.417549;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;C14
8;0.878628;8.239161;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;delta;C15
9;0.921991;12.819081;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;theta;C15
10;0.874271;7.953614;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;alpha-1;C15
11;0.844414;6.427325;17;51;0.0;[0.68 0.94];Average fixed raters;Preprocessed data;CTR;alpha-2;C15
12;0.877028;8.131903;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;beta1;C15
13;0.931682;14.637335;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;C15
14;0.899355;9.93592;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;beta3;C15
15;0.879206;8.278545;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;gamma;C15
16;0.86939;7.656362;17;51;0.0;[0.73 0.95];Average fixed raters;Preprocessed data;CTR;delta;C18
17;0.966868;30.182196;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;C18
18;0.874817;7.988278;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;alpha-1;C18
19;0.851414;6.73009;17;51;0.0;[0.7  0.94];Average fixed raters;Preprocessed data;CTR;alpha-2;C18
20;0.962936;26.980116;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;C18
21;0.922361;12.880152;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;beta2;C18
22;0.95796;23.786607;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta3;C18
23;0.876872;8.121656;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;gamma;C18
24;0.863152;7.307386;17;51;0.0;[0.72 0.94];Average fixed raters;Preprocessed data;CTR;delta;C20
25;0.95945;24.660747;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;C20
