;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Roi
0;Average fixed raters;0.881606;8.446385;601;1803;0.0;[0.87 0.9 ];Normalized data;Control;delta;F
1;Average fixed raters;0.948546;19.434774;601;1803;0.0;[0.94 0.95];Normalized data;Control;theta;F
2;Average fixed raters;0.919925;12.488297;601;1803;0.0;[0.91 0.93];Normalized data;Control;alpha-1;F
3;Average fixed raters;0.903741;10.388637;601;1803;0.0;[0.89 0.92];Normalized data;Control;alpha-2;F
4;Average fixed raters;0.937979;16.123679;601;1803;0.0;[0.93 0.95];Normalized data;Control;beta1;F
5;Average fixed raters;0.939866;16.629605;601;1803;0.0;[0.93 0.95];Normalized data;Control;beta2;F
6;Average fixed raters;0.93348;15.033005;601;1803;0.0;[0.92 0.94];Normalized data;Control;beta3;F
7;Average fixed raters;0.768512;4.319882;601;1803;0.0;[0.74 0.8 ];Normalized data;Control;gamma;F
8;Average fixed raters;0.899326;9.933018;644;1932;0.0;[0.89 0.91];Normalized data;Control;delta;C
9;Average fixed raters;0.952964;21.260116;644;1932;0.0;[0.95 0.96];Normalized data;Control;theta;C
10;Average fixed raters;0.92035;12.554904;644;1932;0.0;[0.91 0.93];Normalized data;Control;alpha-1;C
11;Average fixed raters;0.9263;13.568557;644;1932;0.0;[0.92 0.94];Normalized data;Control;alpha-2;C
12;Average fixed raters;0.950101;20.040591;644;1932;0.0;[0.94 0.96];Normalized data;Control;beta1;C
13;Average fixed raters;0.955659;22.552607;644;1932;0.0;[0.95 0.96];Normalized data;Control;beta2;C
14;Average fixed raters;0.95359;21.547309;644;1932;0.0;[0.95 0.96];Normalized data;Control;beta3;C
15;Average fixed raters;0.695707;3.286306;644;1932;0.0;[0.66 0.73];Normalized data;Control;gamma;C
16;Average fixed raters;0.853296;6.816456;816;2448;0.0;[0.84 0.87];Normalized data;Control;delta;PO
17;Average fixed raters;0.945322;18.289011;816;2448;0.0;[0.94 0.95];Normalized data;Control;theta;PO
18;Average fixed raters;0.918519;12.272773;816;2448;0.0;[0.91 0.93];Normalized data;Control;alpha-1;PO
19;Average fixed raters;0.919921;12.4876;816;2448;0.0;[0.91 0.93];Normalized data;Control;alpha-2;PO
20;Average fixed raters;0.949089;19.642086;816;2448;0.0;[0.94 0.95];Normalized data;Control;beta1;PO
21;Average fixed raters;0.955199;22.320773;816;2448;0.0;[0.95 0.96];Normalized data;Control;beta2;PO
22;Average fixed raters;0.953909;21.696262;816;2448;0.0;[0.95 0.96];Normalized data;Control;beta3;PO
23;Average fixed raters;0.701219;3.346937;816;2448;0.0;[0.67 0.73];Normalized data;Control;gamma;PO
24;Average fixed raters;0.869701;7.67467;429;1287;0.0;[0.85 0.89];Normalized data;Control;delta;T
25;Average fixed raters;0.963122;27.116163;429;1287;0.0;[0.96 0.97];Normalized data;Control;theta;T
26;Average fixed raters;0.917765;12.160305;429;1287;0.0;[0.9  0.93];Normalized data;Control;alpha-1;T
27;Average fixed raters;0.917749;12.157835;429;1287;0.0;[0.9  0.93];Normalized data;Control;alpha-2;T
28;Average fixed raters;0.928849;14.054701;429;1287;0.0;[0.92 0.94];Normalized data;Control;beta1;T
29;Average fixed raters;0.933309;14.994483;429;1287;0.0;[0.92 0.94];Normalized data;Control;beta2;T
30;Average fixed raters;0.922169;12.848276;429;1287;0.0;[0.91 0.93];Normalized data;Control;beta3;T
31;Average fixed raters;0.785054;4.652324;429;1287;0.0;[0.75 0.82];Normalized data;Control;gamma;T
32;Average fixed raters;0.872734;7.857547;601;1803;0.0;[0.86 0.89];Preprocessed data;Control;delta;F
33;Average fixed raters;0.958216;23.932667;601;1803;0.0;[0.95 0.96];Preprocessed data;Control;theta;F
