;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
0;Single fixed raters;0.330923;2.978384;18;54;0.001008;[0.11 0.6 ];Preprocessed data;G1;delta;C14
1;Single fixed raters;0.621891;7.578969;18;54;0.0;[0.41 0.81];Preprocessed data;G1;theta;C14
2;Single fixed raters;0.742583;12.539014;18;54;0.0;[0.57 0.88];Preprocessed data;G1;alpha-1;C14
3;Single fixed raters;0.749546;12.971;18;54;0.0;[0.58 0.88];Preprocessed data;G1;alpha-2;C14
4;Single fixed raters;0.594746;6.870343;18;54;0.0;[0.38 0.79];Preprocessed data;G1;beta1;C14
5;Single fixed raters;0.77034;14.417024;18;54;0.0;[0.61 0.89];Preprocessed data;G1;beta2;C14
6;Single fixed raters;0.702241;10.433661;18;54;0.0;[0.51 0.85];Preprocessed data;G1;beta3;C14
7;Single fixed raters;0.630222;7.81729;18;54;0.0;[0.42 0.81];Preprocessed data;G1;gamma;C14
8;Single fixed raters;0.469312;4.537386;18;54;8e-06;[0.24 0.71];Preprocessed data;G1;delta;C15
9;Single fixed raters;0.603997;7.100927;18;54;0.0;[0.39 0.8 ];Preprocessed data;G1;theta;C15
10;Single fixed raters;0.662026;8.83524;18;54;0.0;[0.46 0.83];Preprocessed data;G1;alpha-1;C15
11;Single fixed raters;0.683605;9.642443;18;54;0.0;[0.49 0.84];Preprocessed data;G1;alpha-2;C15
12;Single fixed raters;0.720389;11.305573;18;54;0.0;[0.54 0.86];Preprocessed data;G1;beta1;C15
13;Single fixed raters;0.429517;4.011608;18;54;3.8e-05;[0.2  0.68];Preprocessed data;G1;beta2;C15
14;Single fixed raters;0.408633;3.763988;18;54;8.1e-05;[0.18 0.66];Preprocessed data;G1;beta3;C15
15;Single fixed raters;0.36702;3.319318;18;54;0.000332;[0.14 0.63];Preprocessed data;G1;gamma;C15
16;Single fixed raters;0.546385;5.818043;18;54;0.0;[0.32 0.76];Preprocessed data;G1;delta;C18
17;Single fixed raters;0.77543;14.811806;18;54;0.0;[0.61 0.89];Preprocessed data;G1;theta;C18
18;Single fixed raters;0.838309;21.738584;18;54;0.0;[0.71 0.93];Preprocessed data;G1;alpha-1;C18
19;Single fixed raters;0.698341;10.260012;18;54;0.0;[0.51 0.85];Preprocessed data;G1;alpha-2;C18
20;Single fixed raters;0.631901;7.866655;18;54;0.0;[0.42 0.81];Preprocessed data;G1;beta1;C18
21;Single fixed raters;0.696496;10.179414;18;54;0.0;[0.5  0.85];Preprocessed data;G1;beta2;C18
22;Single fixed raters;0.556295;6.015005;18;54;0.0;[0.33 0.77];Preprocessed data;G1;beta3;C18
23;Single fixed raters;0.503647;5.058784;18;54;2e-06;[0.27 0.73];Preprocessed data;G1;gamma;C18
24;Single fixed raters;0.433813;4.064806;18;54;3.2e-05;[0.2  0.68];Preprocessed data;G1;delta;C20
25;Single fixed raters;0.709228;10.756471;18;54;0.0;[0.52 0.86];Preprocessed data;G1;theta;C20
26;Single fixed raters;0.744752;12.671034;18;54;0.0;[0.57 0.88];Preprocessed data;G1;alpha-1;C20
27;Single fixed raters;0.61363;7.35277;18;54;0.0;[0.4 0.8];Preprocessed data;G1;alpha-2;C20
28;Single fixed raters;0.579518;6.512893;18;54;0.0;[0.36 0.78];Preprocessed data;G1;beta1;C20
29;Single fixed raters;0.628035;7.753687;18;54;0.0;[0.42 0.81];Preprocessed data;G1;beta2;C20
30;Single fixed raters;0.68107;9.541949;18;54;0.0;[0.48 0.84];Preprocessed data;G1;beta3;C20
31;Single fixed raters;0.464275;4.466516;18;54;1e-05;[0.23 0.7 ];Preprocessed data;G1;gamma;C20
32;Single fixed raters;0.335451;3.019124;18;54;0.000882;[0.11 0.6 ];Preprocessed data;G1;delta;C22
33;Single fixed raters;0.791056;16.143881;18;54;0.0;[0.64 0.9 ];Preprocessed data;G1;theta;C22
34;Single fixed raters;0.720624;11.317617;18;54;0.0;[0.54 0.86];Preprocessed data;G1;alpha-1;C22
35;Single fixed raters;0.734399;12.060161;18;54;0.0;[0.56 0.87];Preprocessed data;G1;alpha-2;C22
36;Single fixed raters;0.768391;14.270495;18;54;0.0;[0.6  0.89];Preprocessed data;G1;beta1;C22
37;Single fixed raters;0.807694;17.800197;18;54;0.0;[0.66 0.91];Preprocessed data;G1;beta2;C22
38;Single fixed raters;0.751072;13.068877;18;54;0.0;[0.58 0.88];Preprocessed data;G1;beta3;C22
39;Single fixed raters;0.797309;16.734447;18;54;0.0;[0.65 0.9 ];Preprocessed data;G1;gamma;C22
40;Single fixed raters;0.38523;3.506494;18;54;0.000183;[0.16 0.64];Preprocessed data;G1;delta;C23
41;Single fixed raters;0.761882;13.798413;18;54;0.0;[0.59 0.89];Preprocessed data;G1;theta;C23
42;Single fixed raters;0.740671;12.424394;18;54;0.0;[0.56 0.88];Preprocessed data;G1;alpha-1;C23
43;Single fixed raters;0.591526;6.792545;18;54;0.0;[0.37 0.79];Preprocessed data;G1;alpha-2;C23
44;Single fixed raters;0.78837;15.900907;18;54;0.0;[0.63 0.9 ];Preprocessed data;G1;beta1;C23
45;Single fixed raters;0.658399;8.709551;18;54;0.0;[0.45 0.83];Preprocessed data;G1;beta2;C23
46;Single fixed raters;0.714876;11.028978;18;54;0.0;[0.53 0.86];Preprocessed data;G1;beta3;C23
47;Single fixed raters;0.693196;10.037621;18;54;0.0;[0.5  0.85];Preprocessed data;G1;gamma;C23
48;Single fixed raters;0.261186;2.41408;18;54;0.006563;[0.05 0.54];Preprocessed data;G1;delta;C24
49;Single fixed raters;0.815671;18.700274;18;54;0.0;[0.67 0.91];Preprocessed data;G1;theta;C24
50;Single fixed raters;0.800622;17.062384;18;54;0.0;[0.65 0.91];Preprocessed data;G1;alpha-1;C24
51;Single fixed raters;0.725774;11.586517;18;54;0.0;[0.54 0.87];Preprocessed data;G1;alpha-2;C24
52;Single fixed raters;0.804544;17.465014;18;54;0.0;[0.66 0.91];Preprocessed data;G1;beta1;C24
53;Single fixed raters;0.83559;21.329478;18;54;0.0;[0.71 0.92];Preprocessed data;G1;beta2;C24
54;Single fixed raters;0.764092;13.955738;18;54;0.0;[0.6  0.89];Preprocessed data;G1;beta3;C24
55;Single fixed raters;0.614534;7.377048;18;54;0.0;[0.4 0.8];Preprocessed data;G1;gamma;C24
56;Single fixed raters;0.395345;3.61534;18;54;0.000129;[0.17 0.65];Preprocessed data;G1;delta;C25
57;Single fixed raters;0.687342;9.79354;18;54;0.0;[0.49 0.85];Preprocessed data;G1;theta;C25
58;Single fixed raters;0.777397;14.969221;18;54;0.0;[0.62 0.89];Preprocessed data;G1;alpha-1;C25
59;Single fixed raters;0.691532;9.967303;18;54;0.0;[0.5  0.85];Preprocessed data;G1;alpha-2;C25
60;Single fixed raters;0.849977;23.662599;18;54;0.0;[0.73 0.93];Preprocessed data;G1;beta1;C25
61;Single fixed raters;0.806344;17.655174;18;54;0.0;[0.66 0.91];Preprocessed data;G1;beta2;C25
62;Single fixed raters;0.79586;16.594408;18;54;0.0;[0.64 0.9 ];Preprocessed data;G1;beta3;C25
63;Single fixed raters;0.716372;11.102973;18;54;0.0;[0.53 0.86];Preprocessed data;G1;gamma;C25
64;Single fixed raters;0.565531;6.206634;24;72;0.0;[0.37 0.75];Preprocessed data;G2;delta;C14
65;Single fixed raters;0.758885;13.589578;24;72;0.0;[0.61 0.87];Preprocessed data;G2;theta;C14
66;Single fixed raters;0.751117;13.071816;24;72;0.0;[0.6  0.87];Preprocessed data;G2;alpha-1;C14
67;Single fixed raters;0.808261;17.861691;24;72;0.0;[0.69 0.9 ];Preprocessed data;G2;alpha-2;C14
68;Single fixed raters;0.632472;7.883535;24;72;0.0;[0.45 0.79];Preprocessed data;G2;beta1;C14
69;Single fixed raters;0.693784;10.06267;24;72;0.0;[0.53 0.83];Preprocessed data;G2;beta2;C14
70;Single fixed raters;0.771791;14.527778;24;72;0.0;[0.63 0.88];Preprocessed data;G2;beta3;C14
71;Single fixed raters;0.30354;2.743333;24;72;0.000523;[0.11 0.54];Preprocessed data;G2;gamma;C14
72;Single fixed raters;0.578768;6.495944;24;72;0.0;[0.39 0.76];Preprocessed data;G2;delta;C15
73;Single fixed raters;0.843658;22.585;24;72;0.0;[0.74 0.92];Preprocessed data;G2;theta;C15
74;Single fixed raters;0.770377;14.419851;24;72;0.0;[0.63 0.88];Preprocessed data;G2;alpha-1;C15
75;Single fixed raters;0.673493;9.2509;24;72;0.0;[0.5  0.82];Preprocessed data;G2;alpha-2;C15
76;Single fixed raters;0.775672;14.831055;24;72;0.0;[0.64 0.88];Preprocessed data;G2;beta1;C15
77;Single fixed raters;0.792334;16.261706;24;72;0.0;[0.66 0.89];Preprocessed data;G2;beta2;C15
78;Single fixed raters;0.767729;14.221274;24;72;0.0;[0.63 0.88];Preprocessed data;G2;beta3;C15
79;Single fixed raters;0.458776;4.390658;24;72;1e-06;[0.26 0.67];Preprocessed data;G2;gamma;C15
80;Single fixed raters;0.649678;8.418053;24;72;0.0;[0.47 0.8 ];Preprocessed data;G2;delta;C18
81;Single fixed raters;0.738445;12.293155;24;72;0.0;[0.59 0.86];Preprocessed data;G2;theta;C18
