;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
0;Average fixed raters;0.891237;9.194315;42;126;0.0;[0.83 0.94];Normalized data;Control;delta;C14
1;Average fixed raters;0.942724;17.459201;42;126;0.0;[0.91 0.97];Normalized data;Control;theta;C14
2;Average fixed raters;0.925675;13.454395;42;126;0.0;[0.88 0.96];Normalized data;Control;alpha-1;C14
3;Average fixed raters;0.94294;17.525462;42;126;0.0;[0.91 0.97];Normalized data;Control;alpha-2;C14
4;Average fixed raters;0.914445;11.688382;42;126;0.0;[0.86 0.95];Normalized data;Control;beta1;C14
5;Average fixed raters;0.94743;19.022427;42;126;0.0;[0.92 0.97];Normalized data;Control;beta2;C14
6;Average fixed raters;0.956958;23.23315;42;126;0.0;[0.93 0.97];Normalized data;Control;beta3;C14
7;Average fixed raters;0.715828;3.518994;42;126;0.0;[0.55 0.83];Normalized data;Control;gamma;C14
8;Average fixed raters;0.884609;8.66621;42;126;0.0;[0.82 0.93];Normalized data;Control;delta;C15
9;Average fixed raters;0.922963;12.980694;42;126;0.0;[0.88 0.95];Normalized data;Control;theta;C15
10;Average fixed raters;0.894284;9.459344;42;126;0.0;[0.83 0.94];Normalized data;Control;alpha-1;C15
11;Average fixed raters;0.880346;8.357412;42;126;0.0;[0.81 0.93];Normalized data;Control;alpha-2;C15
12;Average fixed raters;0.936357;15.712605;42;126;0.0;[0.9  0.96];Normalized data;Control;beta1;C15
13;Average fixed raters;0.935507;15.505664;42;126;0.0;[0.9  0.96];Normalized data;Control;beta2;C15
14;Average fixed raters;0.924234;13.198537;42;126;0.0;[0.88 0.96];Normalized data;Control;beta3;C15
15;Average fixed raters;0.362073;1.567579;42;126;0.029869;[-0.02  0.62];Normalized data;Control;gamma;C15
16;Average fixed raters;0.898949;9.895945;42;126;0.0;[0.84 0.94];Normalized data;Control;delta;C18
17;Average fixed raters;0.936006;15.62643;42;126;0.0;[0.9  0.96];Normalized data;Control;theta;C18
18;Average fixed raters;0.900405;10.040655;42;126;0.0;[0.84 0.94];Normalized data;Control;alpha-1;C18
19;Average fixed raters;0.919058;12.354458;42;126;0.0;[0.87 0.95];Normalized data;Control;alpha-2;C18
20;Average fixed raters;0.917859;12.174134;42;126;0.0;[0.87 0.95];Normalized data;Control;beta1;C18
21;Average fixed raters;0.925385;13.40217;42;126;0.0;[0.88 0.96];Normalized data;Control;beta2;C18
22;Average fixed raters;0.940101;16.69467;42;126;0.0;[0.9  0.96];Normalized data;Control;beta3;C18
23;Average fixed raters;0.725561;3.643801;42;126;0.0;[0.56 0.84];Normalized data;Control;gamma;C18
24;Average fixed raters;0.891096;9.182387;42;126;0.0;[0.83 0.94];Normalized data;Control;delta;C20
25;Average fixed raters;0.959266;24.549374;42;126;0.0;[0.93 0.98];Normalized data;Control;theta;C20
